marketing_airline,marketing_airline_name,market,total_orders,void_orders,free_cancel_24h_orders,void_or_24h_orders
CX,CATHAY PACIFIC,NZ,323,220,0,220
CX,CATHAY PACIFIC,OM,13,8,0,8
CX,CATHAY PACIFIC,PE,3,0,0,0
CX,CATHAY PACIFIC,PH,8150,3949,0,3949
CX,CATHAY PACIFIC,PK,33,10,0,10
CX,CATHAY PACIFIC,PL,55,30,0,30
CX,CATHAY PACIFIC,PT,15,8,0,8
CX,CATHAY PACIFIC,QA,32,18,0,18
CX,CATHAY PACIFIC,RU,3110,1438,4,1442
CX,CATHAY PACIFIC,SA,653,384,0,384
CX,CATHAY PACIFIC,SE,23,9,0,9
CX,CATHAY PACIFIC,SG,14282,9100,3,9103
CX,CATHAY PACIFIC,TH,8037,5005,2,5007
CX,CATHAY PACIFIC,TR,86,40,0,40
CX,CATHAY PACIFIC,TW,36477,20336,36,20372
CX,CATHAY PACIFIC,UA,18,6,0,6
CX,CATHAY PACIFIC,US,9269,8050,8,8058
CX,CATHAY PACIFIC,VN,2885,1742,1,1743
CZ,CHINA SOUTHERN AIRLINES,,239,0,0,0
CZ,CHINA SOUTHERN AIRLINES,AE,1093,514,1,515
CZ,CHINA SOUTHERN AIRLINES,AR,14,0,1,1
CZ,CHINA SOUTHERN AIRLINES,AT,33,9,0,9
CZ,CHINA SOUTHERN AIRLINES,AU,15499,4494,2,4496
CZ,CHINA SOUTHERN AIRLINES,AZ,176,30,0,30
CZ,CHINA SOUTHERN AIRLINES,BE,113,29,0,29
CZ,CHINA SOUTHERN AIRLINES,BH,12,3,0,3
CZ,CHINA SOUTHERN AIRLINES,BR,317,77,1,78
CZ,CHINA SOUTHERN AIRLINES,BY,303,37,0,37
CZ,CHINA SOUTHERN AIRLINES,CA,1703,531,3,534
CZ,CHINA SOUTHERN AIRLINES,CH,66,21,0,21
CZ,CHINA SOUTHERN AIRLINES,CN,397,0,1,1
CZ,CHINA SOUTHERN AIRLINES,CO,21,1,0,1
CZ,CHINA SOUTHERN AIRLINES,CZ,3,0,0,0
CZ,CHINA SOUTHERN AIRLINES,DE,4683,1333,0,1333
CZ,CHINA SOUTHERN AIRLINES,DK,25,5,0,5
CZ,CHINA SOUTHERN AIRLINES,ES,1441,374,7,381
CZ,CHINA SOUTHERN AIRLINES,FI,32,10,0,10
CZ,CHINA SOUTHERN AIRLINES,FR,4108,1083,1,1084
CZ,CHINA SOUTHERN AIRLINES,GB,44304,16250,33,16283
CZ,CHINA SOUTHERN AIRLINES,GR,13,3,0,3
CZ,CHINA SOUTHERN AIRLINES,HK,32414,12076,76,12152
CZ,CHINA SOUTHERN AIRLINES,ID,7251,2352,0,2352
CZ,CHINA SOUTHERN AIRLINES,IE,90,24,0,24
CZ,CHINA SOUTHERN AIRLINES,IL,85,14,0,14
CZ,CHINA SOUTHERN AIRLINES,IN,869,188,0,188
CZ,CHINA SOUTHERN AIRLINES,IT,489,160,0,160
CZ,CHINA SOUTHERN AIRLINES,JP,12557,5942,0,5942
CZ,CHINA SOUTHERN AIRLINES,KR,37187,15350,1,15351
CZ,CHINA SOUTHERN AIRLINES,KW,17,4,0,4
CZ,CHINA SOUTHERN AIRLINES,KZ,1374,233,0,233
CZ,CHINA SOUTHERN AIRLINES,MX,206,50,4,54
CZ,CHINA SOUTHERN AIRLINES,MY,49975,13755,6,13761
CZ,CHINA SOUTHERN AIRLINES,NL,3430,854,1,855
CZ,CHINA SOUTHERN AIRLINES,NZ,539,269,0,269
CZ,CHINA SOUTHERN AIRLINES,OM,73,16,0,16
CZ,CHINA SOUTHERN AIRLINES,PE,2,0,0,0
CZ,CHINA SOUTHERN AIRLINES,PH,3547,2230,2,2232
CZ,CHINA SOUTHERN AIRLINES,PK,1614,1008,0,1008
CZ,CHINA SOUTHERN AIRLINES,PL,139,26,0,26
CZ,CHINA SOUTHERN AIRLINES,PT,28,7,0,7
CZ,CHINA SOUTHERN AIRLINES,QA,97,64,0,64
CZ,CHINA SOUTHERN AIRLINES,RU,45481,9515,2,9517
CZ,CHINA SOUTHERN AIRLINES,SA,1174,575,0,575
CZ,CHINA SOUTHERN AIRLINES,SE,41,9,0,9
CZ,CHINA SOUTHERN AIRLINES,SG,23017,13048,3,13051
CZ,CHINA SOUTHERN AIRLINES,TH,22402,7380,7,7387
CZ,CHINA SOUTHERN AIRLINES,TR,2307,669,0,669
CZ,CHINA SOUTHERN AIRLINES,TW,15205,10210,1,10211
CZ,CHINA SOUTHERN AIRLINES,UA,34,8,0,8
CZ,CHINA SOUTHERN AIRLINES,US,9092,3210,189,3399
CZ,CHINA SOUTHERN AIRLINES,VE,1,0,0,0
CZ,CHINA SOUTHERN AIRLINES,VN,9528,4097,2,4099
DL,DELTA AIR LINES,,38,1,0,1
DL,DELTA AIR LINES,AE,120,89,21,110
DL,DELTA AIR LINES,AT,17,13,1,14
DL,DELTA AIR LINES,AU,681,554,69,623
DL,DELTA AIR LINES,AZ,5,4,0,4
DL,DELTA AIR LINES,BE,16,10,4,14
DL,DELTA AIR LINES,BH,1,0,0,0
DL,DELTA AIR LINES,BR,171,116,28,144
DL,DELTA AIR LINES,BY,1,1,0,1
DL,DELTA AIR LINES,CA,1062,632,116,748
DL,DELTA AIR LINES,CH,10,6,2,8
DL,DELTA AIR LINES,CN,78,63,4,67
DL,DELTA AIR LINES,CO,4,3,0,3
DL,DELTA AIR LINES,CZ,1,0,1,1
DL,DELTA AIR LINES,DE,443,323,56,379
DL,DELTA AIR LINES,DK,4,4,0,4
DL,DELTA AIR LINES,ES,851,636,115,751
DL,DELTA AIR LINES,FR,823,602,119,721
DL,DELTA AIR LINES,GB,4791,3663,590,4253
DL,DELTA AIR LINES,GR,6,3,0,3
DL,DELTA AIR LINES,HK,3730,2685,414,3099
DL,DELTA AIR LINES,ID,398,289,55,344
DL,DELTA AIR LINES,IE,27,20,3,23
DL,DELTA AIR LINES,IL,2,0,0,0
DL,DELTA AIR LINES,IN,336,257,56,313
DL,DELTA AIR LINES,IT,313,237,34,271
DL,DELTA AIR LINES,JP,4764,3762,480,4242
DL,DELTA AIR LINES,KR,3130,2059,691,2750
DL,DELTA AIR LINES,KW,6,6,0,6
DL,DELTA AIR LINES,KZ,32,27,4,31
DL,DELTA AIR LINES,MX,121,90,17,107
DL,DELTA AIR LINES,MY,271,191,35,226
DL,DELTA AIR LINES,NL,211,158,20,178
DL,DELTA AIR LINES,NZ,49,36,6,42
DL,DELTA AIR LINES,PH,375,250,60,310
DL,DELTA AIR LINES,PK,26,17,4,21
DL,DELTA AIR LINES,PL,29,21,5,26
DL,DELTA AIR LINES,PT,11,8,3,11
DL,DELTA AIR LINES,QA,14,12,1,13
DL,DELTA AIR LINES,RU,569,409,99,508
DL,DELTA AIR LINES,SA,125,89,21,110
DL,DELTA AIR LINES,SE,7,7,0,7
DL,DELTA AIR LINES,SG,696,517,79,596
DL,DELTA AIR LINES,TH,890,611,146,757
DL,DELTA AIR LINES,TR,54,35,11,46
DL,DELTA AIR LINES,TW,2179,1719,214,1933
DL,DELTA AIR LINES,UA,8,7,0,7
DL,DELTA AIR LINES,US,14569,10857,322,11179
DL,DELTA AIR LINES,VN,266,205,46,251
EK,EMIRATES,,506,1,0,1
EK,EMIRATES,AE,16661,9636,31,9667
EK,EMIRATES,AR,15,14,0,14
EK,EMIRATES,AT,65,45,0,45
EK,EMIRATES,AU,3847,2452,1,2453
EK,EMIRATES,AZ,35,16,0,16
EK,EMIRATES,BE,175,116,0,116
EK,EMIRATES,BH,78,37,0,37
EK,EMIRATES,BR,386,221,0,221
EK,EMIRATES,BY,47,35,0,35
EK,EMIRATES,CA,973,548,11,559
EK,EMIRATES,CH,138,88,0,88
EK,EMIRATES,CN,415,300,1,301
EK,EMIRATES,CO,32,21,0,21
EK,EMIRATES,CZ,6,4,0,4
EK,EMIRATES,DE,5089,4457,1,4458
EK,EMIRATES,DK,50,32,0,32
EK,EMIRATES,ES,1654,1463,4,1467
EK,EMIRATES,FI,7,4,0,4
EK,EMIRATES,FR,6954,5909,3,5912
EK,EMIRATES,GB,41822,31127,99,31226
EK,EMIRATES,GR,35,27,1,28
EK,EMIRATES,HK,23120,15609,12,15621
EK,EMIRATES,ID,5653,3605,6,3611
EK,EMIRATES,IE,192,132,0,132
EK,EMIRATES,IL,165,72,3,75
EK,EMIRATES,IN,2913,1863,22,1885
EK,EMIRATES,IT,1500,1315,8,1323
EK,EMIRATES,JP,4367,3389,8,3397
EK,EMIRATES,KR,2170,1835,1,1836
EK,EMIRATES,KW,74,38,0,38
EK,EMIRATES,KZ,136,92,0,92
EK,EMIRATES,MX,50,32,1,33
EK,EMIRATES,MY,4490,2973,4,2977
EK,EMIRATES,NL,1461,1285,1,1286
EK,EMIRATES,NZ,223,133,0,133
EK,EMIRATES,OM,60,47,0,47
EK,EMIRATES,PE,2,2,0,2
EK,EMIRATES,PH,2375,1513,0,1513
EK,EMIRATES,PK,587,332,1,333
EK,EMIRATES,PL,121,73,0,73
EK,EMIRATES,PT,120,73,0,73
EK,EMIRATES,QA,77,42,0,42
EK,EMIRATES,RU,11347,7443,17,7460
EK,EMIRATES,SA,6328,3758,9,3767
EK,EMIRATES,SE,69,45,0,45
EK,EMIRATES,SG,4425,2229,5,2234
EK,EMIRATES,TH,10029,4084,26,4110
EK,EMIRATES,TR,839,503,0,503
EK,EMIRATES,TW,2564,1923,1,1924
EK,EMIRATES,UA,55,30,0,30
EK,EMIRATES,US,5721,4711,146,4857
EK,EMIRATES,VN,2737,1936,12,1948
EK,EMIRATES,ZA,1,0,0,0
EY,ETIHAD AIRWAYS,,352,2,1,3
EY,ETIHAD AIRWAYS,AE,13768,2767,7550,10317
EY,ETIHAD AIRWAYS,AR,20,3,17,20
EY,ETIHAD AIRWAYS,AT,144,39,91,130
EY,ETIHAD AIRWAYS,AU,2556,984,1376,2360
EY,ETIHAD AIRWAYS,AZ,4,0,4,4
EY,ETIHAD AIRWAYS,BE,385,78,257,335
EY,ETIHAD AIRWAYS,BH,221,42,92,134
EY,ETIHAD AIRWAYS,BR,152,34,86,120
EY,ETIHAD AIRWAYS,BY,50,7,34,41
EY,ETIHAD AIRWAYS,CA,1412,335,861,1196
EY,ETIHAD AIRWAYS,CH,336,63,229,292
EY,ETIHAD AIRWAYS,CN,416,93,205,298
EY,ETIHAD AIRWAYS,CO,36,11,25,36
EY,ETIHAD AIRWAYS,CZ,25,12,12,24
EY,ETIHAD AIRWAYS,DE,10015,3189,6493,9682
EY,ETIHAD AIRWAYS,DK,71,16,40,56
EY,ETIHAD AIRWAYS,ES,5100,1454,3514,4968
EY,ETIHAD AIRWAYS,FI,10,1,9,10
EY,ETIHAD AIRWAYS,FR,11088,3415,7254,10669
EY,ETIHAD AIRWAYS,GB,47038,14466,29247,43713
EY,ETIHAD AIRWAYS,GR,97,23,60,83
EY,ETIHAD AIRWAYS,HK,5119,1638,2792,4430
EY,ETIHAD AIRWAYS,ID,11932,3487,7040,10527
EY,ETIHAD AIRWAYS,IE,695,133,469,602
EY,ETIHAD AIRWAYS,IL,481,85,326,411
EY,ETIHAD AIRWAYS,IN,4194,908,2664,3572
EY,ETIHAD AIRWAYS,IT,3124,926,2104,3030
EY,ETIHAD AIRWAYS,JP,4657,888,3302,4190
EY,ETIHAD AIRWAYS,KR,4300,1277,2862,4139
EY,ETIHAD AIRWAYS,KW,107,17,62,79
EY,ETIHAD AIRWAYS,KZ,53,18,23,41
EY,ETIHAD AIRWAYS,MX,18,5,12,17
EY,ETIHAD AIRWAYS,MY,3426,904,2125,3029
EY,ETIHAD AIRWAYS,NL,3335,1035,2203,3238
EY,ETIHAD AIRWAYS,NZ,89,8,60,68
EY,ETIHAD AIRWAYS,OM,180,34,75,109
EY,ETIHAD AIRWAYS,PE,3,0,3,3
EY,ETIHAD AIRWAYS,PH,1641,320,1071,1391
EY,ETIHAD AIRWAYS,PK,1040,219,673,892
EY,ETIHAD AIRWAYS,PL,400,96,226,322
EY,ETIHAD AIRWAYS,PT,158,47,95,142
EY,ETIHAD AIRWAYS,QA,263,33,143,176
EY,ETIHAD AIRWAYS,RU,10567,2144,7230,9374
EY,ETIHAD AIRWAYS,SA,12640,2153,8349,10502
EY,ETIHAD AIRWAYS,SE,45,8,26,34
EY,ETIHAD AIRWAYS,SG,1484,785,597,1382
EY,ETIHAD AIRWAYS,TH,5525,1320,3301,4621
EY,ETIHAD AIRWAYS,TR,1633,935,544,1479
EY,ETIHAD AIRWAYS,TW,3207,573,2382,2955
EY,ETIHAD AIRWAYS,UA,56,5,39,44
EY,ETIHAD AIRWAYS,US,5069,2378,2440,4818
EY,ETIHAD AIRWAYS,VE,1,0,0,0
EY,ETIHAD AIRWAYS,VN,1866,499,990,1489
GA,GARUDA INDONESIA,,56,0,0,0
GA,GARUDA INDONESIA,AE,748,582,0,582
GA,GARUDA INDONESIA,AT,12,5,0,5
GA,GARUDA INDONESIA,AU,2749,1460,1,1461
GA,GARUDA INDONESIA,AZ,1,1,0,1
GA,GARUDA INDONESIA,BE,39,9,0,9
GA,GARUDA INDONESIA,BH,1,0,0,0
GA,GARUDA INDONESIA,BR,31,5,0,5
GA,GARUDA INDONESIA,CA,117,53,0,53
GA,GARUDA INDONESIA,CH,45,6,0,6
GA,GARUDA INDONESIA,CN,152,119,0,119
GA,GARUDA INDONESIA,CO,1,1,0,1
GA,GARUDA INDONESIA,DE,485,414,1,415
GA,GARUDA INDONESIA,ES,111,100,0,100
GA,GARUDA INDONESIA,FI,3,0,0,0
GA,GARUDA INDONESIA,FR,364,300,2,302
GA,GARUDA INDONESIA,GB,3396,1849,5,1854
GA,GARUDA INDONESIA,GR,2,1,0,1
GA,GARUDA INDONESIA,HK,6806,1971,0,1971
GA,GARUDA INDONESIA,ID,22419,10316,18,10334
GA,GARUDA INDONESIA,IE,8,1,0,1
GA,GARUDA INDONESIA,IL,2,0,0,0
GA,GARUDA INDONESIA,IN,143,45,0,45
GA,GARUDA INDONESIA,IT,132,100,0,100
GA,GARUDA INDONESIA,JP,3858,1748,0,1748
GA,GARUDA INDONESIA,KR,1317,808,8,816
GA,GARUDA INDONESIA,KW,4,2,0,2
GA,GARUDA INDONESIA,KZ,6,1,0,1
GA,GARUDA INDONESIA,MX,8,6,0,6
GA,GARUDA INDONESIA,MY,1719,899,0,899
GA,GARUDA INDONESIA,NL,655,557,4,561
GA,GARUDA INDONESIA,NZ,20,8,0,8
GA,GARUDA INDONESIA,OM,7,4,0,4
GA,GARUDA INDONESIA,PH,122,50,1,51
GA,GARUDA INDONESIA,PK,35,16,0,16
GA,GARUDA INDONESIA,PL,21,7,0,7
GA,GARUDA INDONESIA,PT,7,3,0,3
GA,GARUDA INDONESIA,QA,13,9,0,9
GA,GARUDA INDONESIA,RU,452,162,0,162
GA,GARUDA INDONESIA,SA,511,237,0,237
GA,GARUDA INDONESIA,SE,9,5,0,5
GA,GARUDA INDONESIA,SG,4018,1773,0,1773
GA,GARUDA INDONESIA,TH,546,230,0,230
GA,GARUDA INDONESIA,TR,159,87,0,87
GA,GARUDA INDONESIA,TW,471,124,0,124
GA,GARUDA INDONESIA,UA,3,0,0,0
GA,GARUDA INDONESIA,US,1112,933,4,937
GA,GARUDA INDONESIA,VN,62,20,0,20
HX,HONG KONG AIRLINES,,53,0,0,0
HX,HONG KONG AIRLINES,AE,131,39,0,39
HX,HONG KONG AIRLINES,AR,4,1,0,1
HX,HONG KONG AIRLINES,AT,38,4,0,4
HX,HONG KONG AIRLINES,AU,2743,1156,1,1157
HX,HONG KONG AIRLINES,AZ,3,0,0,0
HX,HONG KONG AIRLINES,BE,53,4,0,4
HX,HONG KONG AIRLINES,BH,2,0,0,0
HX,HONG KONG AIRLINES,BR,205,34,0,34
HX,HONG KONG AIRLINES,BY,29,5,0,5
HX,HONG KONG AIRLINES,CA,1839,827,2,829
HX,HONG KONG AIRLINES,CH,67,6,0,6
HX,HONG KONG AIRLINES,CN,151,95,0,95
HX,HONG KONG AIRLINES,CO,4,3,0,3
HX,HONG KONG AIRLINES,CZ,1,0,0,0
HX,HONG KONG AIRLINES,DE,812,117,0,117
HX,HONG KONG AIRLINES,DK,16,0,0,0
HX,HONG KONG AIRLINES,ES,383,50,0,50
HX,HONG KONG AIRLINES,FI,14,0,0,0
HX,HONG KONG AIRLINES,FR,739,115,1,116
HX,HONG KONG AIRLINES,GB,7100,1409,7,1416
HX,HONG KONG AIRLINES,GR,6,1,0,1
HX,HONG KONG AIRLINES,HK,91879,14060,33,14093
HX,HONG KONG AIRLINES,ID,1367,603,1,604
HX,HONG KONG AIRLINES,IE,41,5,0,5
HX,HONG KONG AIRLINES,IL,18,4,0,4
HX,HONG KONG AIRLINES,IN,305,58,0,58
HX,HONG KONG AIRLINES,IT,210,38,0,38
HX,HONG KONG AIRLINES,JP,12517,1974,0,1974
HX,HONG KONG AIRLINES,KR,3615,2144,0,2144
HX,HONG KONG AIRLINES,KW,2,0,0,0
HX,HONG KONG AIRLINES,KZ,79,16,0,16
HX,HONG KONG AIRLINES,MX,101,13,0,13
HX,HONG KONG AIRLINES,MY,429,74,0,74
HX,HONG KONG AIRLINES,NL,305,52,0,52
HX,HONG KONG AIRLINES,NZ,83,10,0,10
HX,HONG KONG AIRLINES,OM,6,0,0,0
HX,HONG KONG AIRLINES,PH,385,58,0,58
HX,HONG KONG AIRLINES,PK,8,1,0,1
HX,HONG KONG AIRLINES,PL,70,13,0,13
HX,HONG KONG AIRLINES,PT,16,3,1,4
HX,HONG KONG AIRLINES,QA,7,1,0,1
HX,HONG KONG AIRLINES,RU,3241,506,0,506
HX,HONG KONG AIRLINES,SA,44,5,0,5
HX,HONG KONG AIRLINES,SE,26,3,0,3
HX,HONG KONG AIRLINES,SG,758,344,0,344
HX,HONG KONG AIRLINES,TH,12994,1743,3,1746
HX,HONG KONG AIRLINES,TR,136,53,0,53
HX,HONG KONG AIRLINES,TW,13291,4301,0,4301
HX,HONG KONG AIRLINES,UA,19,3,0,3
HX,HONG KONG AIRLINES,US,2761,465,6,471
HX,HONG KONG AIRLINES,VN,2470,676,0,676
IB,IBERIA,,25,0,0,0
IB,IBERIA,AE,190,119,1,120
IB,IBERIA,AR,151,97,0,97
IB,IBERIA,AT,48,28,0,28
IB,IBERIA,AU,571,401,0,401
IB,IBERIA,AZ,6,5,0,5
IB,IBERIA,BE,118,72,1,73
IB,IBERIA,BH,4,3,0,3
IB,IBERIA,BR,676,406,1,407
IB,IBERIA,BY,2,1,0,1
IB,IBERIA,CA,251,152,0,152
IB,IBERIA,CH,159,120,0,120
IB,IBERIA,CN,128,104,0,104
IB,IBERIA,CO,306,144,0,144
IB,IBERIA,CZ,3,2,0,2
IB,IBERIA,DE,2641,2284,0,2284
IB,IBERIA,DK,12,7,0,7
IB,IBERIA,ES,16936,14396,4,14400
IB,IBERIA,FI,5,1,0,1
IB,IBERIA,FR,4085,3441,1,3442
IB,IBERIA,GB,6757,5314,6,5320
IB,IBERIA,GR,77,46,0,46
IB,IBERIA,HK,2180,1565,0,1565
IB,IBERIA,ID,196,138,0,138
IB,IBERIA,IE,78,67,0,67
IB,IBERIA,IL,69,38,0,38
IB,IBERIA,IN,157,96,0,96
IB,IBERIA,IT,1590,1354,0,1354
IB,IBERIA,JP,2416,1780,2,1782
IB,IBERIA,KR,2659,2411,13,2424
IB,IBERIA,KW,4,4,0,4
IB,IBERIA,KZ,45,31,0,31
IB,IBERIA,MX,376,189,0,189
IB,IBERIA,MY,214,165,0,165
IB,IBERIA,NL,1043,876,0,876
IB,IBERIA,NZ,23,13,0,13
IB,IBERIA,OM,2,2,0,2
IB,IBERIA,PE,16,8,0,8
IB,IBERIA,PH,109,75,0,75
IB,IBERIA,PK,39,27,0,27
IB,IBERIA,PL,38,20,0,20
IB,IBERIA,PT,281,165,0,165
IB,IBERIA,QA,16,13,0,13
IB,IBERIA,RU,1057,735,2,737
IB,IBERIA,SA,169,104,0,104
IB,IBERIA,SE,26,10,0,10
IB,IBERIA,SG,379,353,0,353
IB,IBERIA,TH,240,145,0,145
IB,IBERIA,TR,209,109,0,109
IB,IBERIA,TW,521,351,0,351
IB,IBERIA,UA,14,10,0,10
IB,IBERIA,US,2011,1769,1,1770
IB,IBERIA,VE,11,6,0,6
IB,IBERIA,VN,87,57,0,57
JL,JAPAN AIRLINES,,72,2,0,2
JL,JAPAN AIRLINES,AE,76,38,4,42
JL,JAPAN AIRLINES,AR,11,6,0,6
JL,JAPAN AIRLINES,AT,15,4,0,4
JL,JAPAN AIRLINES,AU,1168,556,49,605
JL,JAPAN AIRLINES,AZ,2,2,0,2
JL,JAPAN AIRLINES,BE,30,8,1,9
JL,JAPAN AIRLINES,BH,2,0,0,0
JL,JAPAN AIRLINES,BR,426,247,42,289
JL,JAPAN AIRLINES,BY,6,2,1,3
JL,JAPAN AIRLINES,CA,571,231,30,261
JL,JAPAN AIRLINES,CH,54,15,2,17
JL,JAPAN AIRLINES,CN,271,126,9,135
JL,JAPAN AIRLINES,CO,8,4,1,5
JL,JAPAN AIRLINES,DE,829,567,39,606
JL,JAPAN AIRLINES,DK,14,2,1,3
JL,JAPAN AIRLINES,ES,239,185,9,194
JL,JAPAN AIRLINES,FI,2,1,0,1
JL,JAPAN AIRLINES,FR,798,618,39,657
JL,JAPAN AIRLINES,GB,6171,3414,299,3713
JL,JAPAN AIRLINES,GR,3,1,0,1
JL,JAPAN AIRLINES,HK,7914,3741,599,4340
JL,JAPAN AIRLINES,ID,3014,1789,45,1834
JL,JAPAN AIRLINES,IE,10,2,1,3
JL,JAPAN AIRLINES,IL,41,11,3,14
JL,JAPAN AIRLINES,IN,187,99,18,117
JL,JAPAN AIRLINES,IT,193,114,14,128
JL,JAPAN AIRLINES,JP,36813,12936,264,13200
JL,JAPAN AIRLINES,KR,4374,1009,2638,3647
JL,JAPAN AIRLINES,KW,1,0,0,0
JL,JAPAN AIRLINES,KZ,12,5,0,5
JL,JAPAN AIRLINES,MX,54,23,0,23
JL,JAPAN AIRLINES,MY,2296,1685,61,1746
JL,JAPAN AIRLINES,NL,245,192,8,200
JL,JAPAN AIRLINES,NZ,46,15,3,18
JL,JAPAN AIRLINES,OM,2,2,0,2
JL,JAPAN AIRLINES,PH,918,501,55,556
JL,JAPAN AIRLINES,PK,10,5,0,5
JL,JAPAN AIRLINES,PL,33,10,2,12
JL,JAPAN AIRLINES,PT,3,1,0,1
JL,JAPAN AIRLINES,QA,2,2,0,2
JL,JAPAN AIRLINES,RU,1391,448,32,480
JL,JAPAN AIRLINES,SA,57,28,4,32
JL,JAPAN AIRLINES,SE,12,4,2,6
JL,JAPAN AIRLINES,SG,3721,2492,56,2548
JL,JAPAN AIRLINES,TH,5565,4122,84,4206
JL,JAPAN AIRLINES,TR,61,21,4,25
JL,JAPAN AIRLINES,TW,6169,3579,164,3743
JL,JAPAN AIRLINES,UA,6,1,0,1
JL,JAPAN AIRLINES,US,3189,2456,162,2618
JL,JAPAN AIRLINES,VN,5585,1851,95,1946
KE,KOREAN AIR,,79,0,1,1
KE,KOREAN AIR,AE,104,58,6,64
KE,KOREAN AIR,AR,6,2,0,2
KE,KOREAN AIR,AT,37,25,0,25
KE,KOREAN AIR,AU,1571,1011,45,1056
KE,KOREAN AIR,AZ,1,1,0,1
KE,KOREAN AIR,BE,50,29,3,32
KE,KOREAN AIR,BR,185,127,7,134
KE,KOREAN AIR,BY,16,9,3,12
KE,KOREAN AIR,CA,2119,1547,55,1602
KE,KOREAN AIR,CH,45,30,3,33
KE,KOREAN AIR,CN,226,133,3,136
KE,KOREAN AIR,CO,23,16,0,16
KE,KOREAN AIR,CZ,4,3,0,3
KE,KOREAN AIR,DE,1176,1051,43,1094
KE,KOREAN AIR,DK,16,11,0,11
KE,KOREAN AIR,ES,513,444,24,468
KE,KOREAN AIR,FI,6,4,0,4
KE,KOREAN AIR,FR,994,806,100,906
KE,KOREAN AIR,GB,11176,7639,511,8150
KE,KOREAN AIR,GR,9,5,1,6
KE,KOREAN AIR,HK,16097,11173,1711,12884
KE,KOREAN AIR,ID,1769,1209,68,1277
KE,KOREAN AIR,IE,32,22,1,23
KE,KOREAN AIR,IL,36,18,1,19
KE,KOREAN AIR,IN,221,120,21,141
KE,KOREAN AIR,IT,330,300,12,312
KE,KOREAN AIR,JP,50091,34147,840,34987
KE,KOREAN AIR,KR,128716,68567,53473,122040
KE,KOREAN AIR,KW,5,1,0,1
KE,KOREAN AIR,KZ,63,37,4,41
KE,KOREAN AIR,MX,178,124,8,132
KE,KOREAN AIR,MY,2983,2249,37,2286
KE,KOREAN AIR,NL,533,490,21,511
KE,KOREAN AIR,NZ,85,61,4,65
KE,KOREAN AIR,OM,2,2,0,2
